IndexName,Date,Close,EPS,P/E,P/B,Div Yield %
NIFTY 50,07-Jan-03,1081.8,74,14.67,2.37,2.42
NIFTY 50,06-Jan-03,1084.35,74,14.71,2.37,2.42
NIFTY 50,03-Jan-03,1089.6,74,14.78,2.38,2.4
NIFTY 50,02-Jan-03,1093.05,74,14.82,2.39,2.4
NIFTY 50,01-Jan-03,1100.15,74,14.92,2.41,2.38
NIFTY 50,31-Dec-02,1093.5,74,14.83,2.39,2.4
NIFTY 50,30-Dec-02,1091.95,74,14.81,2.39,2.4
NIFTY 50,27-Dec-02,1098.4,74,14.9,2.4,2.39
NIFTY 50,26-Dec-02,1094.8,74,14.85,2.39,2.39
NIFTY 50,24-Dec-02,1085,74,14.72,2.37,2.41
NIFTY 50,23-Dec-02,1076,74,14.59,2.35,2.43
NIFTY 50,20-Dec-02,1079.3,74,14.64,2.36,2.43
NIFTY 50,19-Dec-02,1076,74,14.59,2.35,2.43
NIFTY 50,18-Dec-02,1077.95,74,14.62,2.36,2.43
NIFTY 50,17-Dec-02,1073.25,74,14.56,2.35,2.44
NIFTY 50,16-Dec-02,1078.45,74,14.63,2.36,2.43
NIFTY 50,13-Dec-02,1086.2,74,14.73,2.38,2.41
NIFTY 50,12-Dec-02,1077,74,14.61,2.36,2.43
NIFTY 50,11-Dec-02,1069.75,74,14.51,2.34,2.45
NIFTY 50,10-Dec-02,1063.7,74,14.43,2.33,2.46
NIFTY 50,09-Dec-02,1058.65,74,14.36,2.32,2.47
NIFTY 50,06-Dec-02,1069.8,74,14.51,2.34,2.45
NIFTY 50,05-Dec-02,1045.95,74,14.19,2.29,2.5
NIFTY 50,04-Dec-02,1036.4,74,14.06,2.27,2.53
NIFTY 50,03-Dec-02,1055,74,14.31,2.31,2.48
NIFTY 50,02-Dec-02,1067.9,74,14.48,2.34,2.45
NIFTY 50,29-Nov-02,1050.15,74,14.24,2.3,2.49
NIFTY 50,28-Nov-02,1049.7,74,14.24,2.3,2.5
NIFTY 50,27-Nov-02,1031.1,74,13.98,2.26,2.54
NIFTY 50,26-Nov-02,1036.15,74,14.05,2.27,2.53
NIFTY 50,25-Nov-02,1026.2,74,13.92,2.24,2.55
NIFTY 50,22-Nov-02,1020.15,74,13.84,2.23,2.57
NIFTY 50,21-Nov-02,1008.75,66,15.34,2.57,2.08
NIFTY 50,20-Nov-02,1001.6,66,15.23,2.55,2.1
NIFTY 50,18-Nov-02,996.85,66,15.16,2.54,2.11
NIFTY 50,15-Nov-02,990.35,66,15.06,2.53,2.12
NIFTY 50,14-Nov-02,971.9,66,14.78,2.48,2.16
NIFTY 50,13-Nov-02,962.65,66,14.64,2.46,2.18
NIFTY 50,12-Nov-02,959.85,66,14.6,2.45,2.19
NIFTY 50,11-Nov-02,954.05,66,14.51,2.43,2.2
NIFTY 50,08-Nov-02,956.95,66,14.55,2.44,2.2
NIFTY 50,07-Nov-02,960.7,66,14.61,2.45,2.19
NIFTY 50,05-Nov-02,962.3,66,14.63,2.45,2.19
NIFTY 50,04-Nov-02,962.1,66,14.63,2.45,2.19
NIFTY 50,01-Nov-02,951.45,66,14.47,2.43,2.21
