date,symbol,weight,in_index,source
2008-04-30,POWERGRID,1.42943,1.0,historic_data_figshare
2008-04-30,RANBAXY,0.57977,1.0,historic_data_figshare
2008-04-30,RCOM,3.83846,1.0,historic_data_figshare
2008-04-30,RELIANCE,12.22511,1.0,historic_data_figshare
2008-04-30,RELINFRA,1.08956,1.0,historic_data_figshare
2008-04-30,RPL,2.90884,1.0,historic_data_figshare
2008-04-30,SAIL,2.45902,1.0,historic_data_figshare
2008-04-30,SATYAMCOMP,1.03958,1.0,historic_data_figshare
2008-04-30,SBIN,3.59856,1.0,historic_data_figshare
2008-04-30,SIEMENS,0.61975,1.0,historic_data_figshare
2008-04-30,STER,1.96921,1.0,historic_data_figshare
2008-04-30,SUNPHARMA,0.95962,1.0,historic_data_figshare
2008-04-30,SUZLON,1.37945,1.0,historic_data_figshare
2008-04-30,TATACOMM,0.45982,1.0,historic_data_figshare
2008-04-30,TATAMOTORS,0.81967,1.0,historic_data_figshare
2008-04-30,TATAPOWER,0.9896,1.0,historic_data_figshare
2008-04-30,TATASTEEL,1.91923,1.0,historic_data_figshare
2008-04-30,TCS,2.89884,1.0,historic_data_figshare
2008-04-30,UNITECH,1.61935,1.0,historic_data_figshare
2008-04-30,WIPRO,2.29908,1.0,historic_data_figshare
2008-04-30,ZEEL,0.29989,1.0,historic_data_figshare
2008-05-31,ABB,0.74022,1.0,historic_data_figshare
2008-05-31,ACC,0.42013,1.0,historic_data_figshare
2008-05-31,AMBUJACEM,0.49015,1.0,historic_data_figshare
2008-05-31,BHARTIARTL,5.6717,1.0,historic_data_figshare
2008-05-31,BHEL,2.77083,1.0,historic_data_figshare
2008-05-31,BPCL,0.44013,1.0,historic_data_figshare
2008-05-31,CAIRN,1.85056,1.0,historic_data_figshare
2008-05-31,CIPLA,0.56017,1.0,historic_data_figshare
2008-05-31,DLF,3.41102,1.0,historic_data_figshare
2008-05-31,DRREDDY,0.41012,1.0,historic_data_figshare
2008-05-31,GAIL,1.15035,1.0,historic_data_figshare
2008-05-31,GRASIM,0.69021,1.0,historic_data_figshare
2008-05-31,HCLTECH,0.71021,1.0,historic_data_figshare
2008-05-31,HDFC,2.49075,1.0,historic_data_figshare
2008-05-31,HDFCBANK,1.6505,1.0,historic_data_figshare
2008-05-31,HEROMOTOCO,0.51015,1.0,historic_data_figshare
2008-05-31,HINDALCO,0.80024,1.0,historic_data_figshare
2008-05-31,HINDUNILVR,1.76053,1.0,historic_data_figshare
2008-05-31,ICICIBANK,2.9909,1.0,historic_data_figshare
2008-05-31,IDEA,0.98029,1.0,historic_data_figshare
2008-05-31,INFY,3.83115,1.0,historic_data_figshare
2008-05-31,ITC,2.80084,1.0,historic_data_figshare
2008-05-31,LT,2.97089,1.0,historic_data_figshare
2008-05-31,M&M,0.49015,1.0,historic_data_figshare
2008-05-31,MARUTI,0.75023,1.0,historic_data_figshare
2008-05-31,NATIONALUM,1.18035,1.0,historic_data_figshare
2008-05-31,NTPC,4.84145,1.0,historic_data_figshare
2008-05-31,ONGC,6.31189,1.0,historic_data_figshare
2008-05-31,PNB,0.52016,1.0,historic_data_figshare
2008-05-31,POWERGRID,1.41042,1.0,historic_data_figshare
2008-05-31,RANBAXY,0.6702,1.0,historic_data_figshare
2008-05-31,RCOM,4.06122,1.0,historic_data_figshare
2008-05-31,RELIANCE,11.91356,1.0,historic_data_figshare
2008-05-31,RELINFRA,0.98029,1.0,historic_data_figshare
2008-05-31,RPL,2.6808,1.0,historic_data_figshare
2008-05-31,SAIL,2.28068,1.0,historic_data_figshare
2008-05-31,SATYAMCOMP,1.20036,1.0,historic_data_figshare
2008-05-31,SBIN,3.13094,1.0,historic_data_figshare
2008-05-31,SIEMENS,0.64019,1.0,historic_data_figshare
2008-05-31,STER,2.26068,1.0,historic_data_figshare
2008-05-31,SUNPHARMA,0.9903,1.0,historic_data_figshare
2008-05-31,SUZLON,1.42043,1.0,historic_data_figshare
2008-05-31,TATACOMM,0.49015,1.0,historic_data_figshare
2008-05-31,TATAMOTORS,0.76023,1.0,historic_data_figshare
2008-05-31,TATAPOWER,1.02031,1.0,historic_data_figshare
2008-05-31,TATASTEEL,2.25068,1.0,historic_data_figshare
2008-05-31,TCS,3.47104,1.0,historic_data_figshare
2008-05-31,UNITECH,1.29039,1.0,historic_data_figshare
2008-05-31,WIPRO,2.54076,1.0,historic_data_figshare
2008-05-31,ZEEL,0.3401,1.0,historic_data_figshare
2008-06-30,ABB,0.70014,1.0,historic_data_figshare
2008-06-30,ACC,0.41008,1.0,historic_data_figshare
