date,sentiment_mean,positive_count,negative_count,article_count,source
2017-07-19,-0.13049485910695188,79,108,187,historic_data_news_sentiment
2017-07-20,-0.07020148547014925,62,72,134,historic_data_news_sentiment
2017-07-21,0.25332250508148146,86,49,135,historic_data_news_sentiment
2017-07-22,0.16546471397101448,42,27,69,historic_data_news_sentiment
2017-07-23,0.28487643970175436,37,20,57,historic_data_news_sentiment
2017-07-24,0.05756735476219513,86,78,164,historic_data_news_sentiment
2017-07-25,0.017809673520325205,63,60,123,historic_data_news_sentiment
2017-07-26,-0.10273530628260871,41,51,92,historic_data_news_sentiment
2017-07-27,0.024318837707762553,112,107,219,historic_data_news_sentiment
2017-07-28,-0.08115655828648649,85,100,185,historic_data_news_sentiment
2017-07-29,-0.1864469984057971,29,40,69,historic_data_news_sentiment
2017-07-30,-0.041711516000000004,34,37,71,historic_data_news_sentiment
2017-07-31,-0.13142801437962964,48,60,108,historic_data_news_sentiment
2017-08-01,-0.07075921594285714,66,74,140,historic_data_news_sentiment
2017-08-02,-0.14054091800000001,125,162,287,historic_data_news_sentiment
2017-08-03,-0.14938274039344263,78,105,183,historic_data_news_sentiment
2017-08-04,-0.08721339055038761,60,69,129,historic_data_news_sentiment
2017-08-05,-0.183094263,25,36,61,historic_data_news_sentiment
2017-08-06,0.06855299321428572,30,26,56,historic_data_news_sentiment
2017-08-07,-0.05223881164673913,87,97,184,historic_data_news_sentiment
2017-08-08,0.07282862165263158,103,87,190,historic_data_news_sentiment
2017-08-09,0.15812408291346153,62,42,104,historic_data_news_sentiment
2017-08-10,-0.04373508227108434,81,85,166,historic_data_news_sentiment
2017-08-11,-0.14650013915966387,102,136,238,historic_data_news_sentiment
2017-08-12,-0.013004497108108113,36,38,74,historic_data_news_sentiment
2017-08-13,-0.20523607828125,24,40,64,historic_data_news_sentiment
2017-08-14,-0.2777558670420168,41,78,119,historic_data_news_sentiment
2017-08-15,-0.07195135663934425,56,66,122,historic_data_news_sentiment
2017-08-16,-0.03316764862162162,89,96,185,historic_data_news_sentiment
2017-08-17,-0.19965256870114942,69,105,174,historic_data_news_sentiment
2017-08-18,-0.027711249185714285,68,72,140,historic_data_news_sentiment
2017-08-19,-0.22831460005555554,14,22,36,historic_data_news_sentiment
2017-08-20,0.20255580075438598,35,22,57,historic_data_news_sentiment
2017-08-21,-0.15868665625405406,78,107,185,historic_data_news_sentiment
2017-08-22,-0.018374357737500003,79,81,160,historic_data_news_sentiment
2017-08-23,-0.01693823837419355,76,79,155,historic_data_news_sentiment
2017-08-24,0.08333405043529411,93,77,170,historic_data_news_sentiment
2017-08-25,-0.07847958046835443,37,42,79,historic_data_news_sentiment
2017-08-26,-0.08274191211363637,21,23,44,historic_data_news_sentiment
2017-08-27,0.022258019241935476,32,30,62,historic_data_news_sentiment
2017-08-28,0.010701862633333331,91,89,180,historic_data_news_sentiment
2017-08-29,-0.1719676412894737,47,67,114,historic_data_news_sentiment
2017-08-30,-0.036167877875912406,66,71,137,historic_data_news_sentiment
2017-08-31,-0.16064092179310346,86,117,203,historic_data_news_sentiment
2017-09-01,-0.11818160777884615,92,116,208,historic_data_news_sentiment
2017-09-02,0.043145020491803285,32,29,61,historic_data_news_sentiment
2017-09-03,0.2050087772195122,25,16,41,historic_data_news_sentiment
2017-09-04,0.006317437540540545,76,72,148,historic_data_news_sentiment
2017-09-05,0.021509845966824644,107,104,211,historic_data_news_sentiment
2017-09-06,0.022396888803921572,106,98,204,historic_data_news_sentiment
2017-09-07,-0.056087457304761903,98,112,210,historic_data_news_sentiment
2017-09-08,-0.17440007063448276,61,84,145,historic_data_news_sentiment
2017-09-09,-0.1663008796031746,26,37,63,historic_data_news_sentiment
2017-09-10,0.05992518907317074,43,39,82,historic_data_news_sentiment
2017-09-11,0.012486442948863636,89,87,176,historic_data_news_sentiment
2017-09-12,0.0589793469223301,110,96,206,historic_data_news_sentiment
2017-09-13,0.008151391269736843,77,75,152,historic_data_news_sentiment
2017-09-14,-0.10916664669230769,80,102,182,historic_data_news_sentiment
2017-09-15,-0.14910490954761904,70,98,168,historic_data_news_sentiment
2017-09-16,-0.001144137556962025,41,38,79,historic_data_news_sentiment
2017-09-17,-0.12610286198412698,27,36,63,historic_data_news_sentiment
2017-09-18,0.05122133183471075,64,57,121,historic_data_news_sentiment
2017-09-19,-0.08917175019379844,60,69,129,historic_data_news_sentiment
2017-09-20,-0.1327823306235294,74,96,170,historic_data_news_sentiment
2017-09-21,-0.15219982550588235,71,99,170,historic_data_news_sentiment
2017-09-22,-0.25659301225714287,76,134,210,historic_data_news_sentiment
2017-09-23,0.0219672204,18,17,35,historic_data_news_sentiment
2017-09-24,0.22461009333333332,24,15,39,historic_data_news_sentiment
2017-09-25,0.07907543355294118,93,77,170,historic_data_news_sentiment
2017-09-26,-0.042686711023809526,101,109,210,historic_data_news_sentiment
2017-09-27,-0.12967882874485598,106,137,243,historic_data_news_sentiment
2017-09-28,-0.039813872760563376,103,110,213,historic_data_news_sentiment
2017-09-29,-0.10058964579041917,77,90,167,historic_data_news_sentiment
2017-09-30,-0.172353746,33,47,80,historic_data_news_sentiment
2017-10-01,-0.12935384794117646,36,49,85,historic_data_news_sentiment
2017-10-02,0.0030795051150442503,59,54,113,historic_data_news_sentiment
2017-10-03,-0.09598792731404958,55,66,121,historic_data_news_sentiment
2017-10-04,-0.1663307745116279,71,101,172,historic_data_news_sentiment
2017-10-05,0.012658535059907836,111,106,217,historic_data_news_sentiment
2017-10-06,0.005075867432432433,94,91,185,historic_data_news_sentiment
2017-10-07,0.1771745893559322,35,24,59,historic_data_news_sentiment
2017-10-08,-0.024519864827586207,14,15,29,historic_data_news_sentiment
2017-10-09,-0.04043127748550724,67,71,138,historic_data_news_sentiment
2017-10-10,-0.05549770748958333,91,101,192,historic_data_news_sentiment
2017-10-11,-0.21569255396774192,82,135,217,historic_data_news_sentiment
2017-10-12,-0.0165772245483871,108,109,217,historic_data_news_sentiment
2017-10-13,-0.11442141976470588,52,67,119,historic_data_news_sentiment
2017-10-14,0.12590768413793102,17,12,29,historic_data_news_sentiment
2017-10-15,0.17449225252112674,41,30,71,historic_data_news_sentiment
2017-10-16,-0.007328219535211266,105,108,213,historic_data_news_sentiment
2017-10-17,-0.08804884436111111,115,137,252,historic_data_news_sentiment
2017-10-18,-0.06674144304571428,81,94,175,historic_data_news_sentiment
2017-10-19,-0.16826640935238094,44,61,105,historic_data_news_sentiment
2017-10-20,-0.18022259500763357,54,77,131,historic_data_news_sentiment
2017-10-21,0.12720971218032787,34,27,61,historic_data_news_sentiment
2017-10-22,0.21562559788461536,48,30,78,historic_data_news_sentiment
2017-10-23,-0.15859955619512195,34,48,82,historic_data_news_sentiment
2017-10-24,0.03533894798787879,86,79,165,historic_data_news_sentiment
2017-10-25,-0.003343906508928573,110,114,224,historic_data_news_sentiment
2017-10-26,-0.09566269529896908,86,108,194,historic_data_news_sentiment
2017-10-27,0.006409612833333337,61,59,120,historic_data_news_sentiment
2017-10-28,0.03602394005769231,26,26,52,historic_data_news_sentiment
2017-10-29,-0.16195913241666665,30,42,72,historic_data_news_sentiment
2017-10-30,-0.12916548103092784,84,110,194,historic_data_news_sentiment
2017-10-31,0.20734512873888888,110,70,180,historic_data_news_sentiment
2017-11-01,0.12265163967428572,100,75,175,historic_data_news_sentiment
2017-11-02,0.05100078284962406,70,63,133,historic_data_news_sentiment
2017-11-03,0.04321699662711864,93,84,177,historic_data_news_sentiment
2017-11-04,-0.09042879756790123,37,44,81,historic_data_news_sentiment
2017-11-05,-0.02947629564210526,46,49,95,historic_data_news_sentiment
2017-11-06,-0.08172456404390245,92,113,205,historic_data_news_sentiment
2017-11-07,-0.3165121806346154,35,69,104,historic_data_news_sentiment
2017-11-08,-0.2711907664163265,88,157,245,historic_data_news_sentiment
2017-11-09,0.005333512863874344,97,94,191,historic_data_news_sentiment
2017-11-10,-0.08069524869398907,85,98,183,historic_data_news_sentiment
2017-11-11,0.08190513639726028,40,33,73,historic_data_news_sentiment
2017-11-12,0.03878614391891892,19,18,37,historic_data_news_sentiment
2017-11-13,-0.07918038481012658,36,43,79,historic_data_news_sentiment
2017-11-14,-0.09549530922941177,77,93,170,historic_data_news_sentiment
2017-11-15,0.009948893107758624,118,114,232,historic_data_news_sentiment
2017-11-16,-0.006421400999999999,108,108,216,historic_data_news_sentiment
2017-11-17,0.009968646732558137,89,83,172,historic_data_news_sentiment
2017-11-18,-0.24545781232631578,34,61,95,historic_data_news_sentiment
2017-11-19,0.023907991621621612,39,35,74,historic_data_news_sentiment
2017-11-20,-0.10118327713551402,95,119,214,historic_data_news_sentiment
2017-11-21,0.015375527238805973,103,98,201,historic_data_news_sentiment
2017-11-22,-0.08547610391534392,86,103,189,historic_data_news_sentiment
2017-11-23,-0.2737759847432432,53,95,148,historic_data_news_sentiment
2017-11-24,-0.02811013565340909,85,91,176,historic_data_news_sentiment
2017-11-25,-0.10773780584745762,26,33,59,historic_data_news_sentiment
2017-11-26,0.05101373131944445,38,34,72,historic_data_news_sentiment
2017-11-27,-0.13191574669461079,71,96,167,historic_data_news_sentiment
2017-11-28,-0.17245782360869563,75,109,184,historic_data_news_sentiment
2017-11-29,-0.0870825838916256,91,112,203,historic_data_news_sentiment
2017-11-30,-0.002260683578199049,106,105,211,historic_data_news_sentiment
2017-12-03,0.2682884012622951,39,22,61,historic_data_news_sentiment
2017-12-04,-0.11669716578735632,77,97,174,historic_data_news_sentiment
2017-12-05,-0.15233029748598131,90,124,214,historic_data_news_sentiment
2017-12-06,-0.11378374054773868,87,112,199,historic_data_news_sentiment
2017-12-07,0.009654907386666665,78,72,150,historic_data_news_sentiment
2017-12-08,-0.03274472588135593,86,91,177,historic_data_news_sentiment
2017-12-09,-0.01608273241269841,30,33,63,historic_data_news_sentiment
2017-12-10,-0.025327060240000004,36,39,75,historic_data_news_sentiment
2017-12-11,-0.20563839723444977,82,127,209,historic_data_news_sentiment
2017-12-12,-0.16649170701652893,50,71,121,historic_data_news_sentiment
2017-12-13,-0.17506910609375,79,113,192,historic_data_news_sentiment
2017-12-14,-0.047965665931506855,102,117,219,historic_data_news_sentiment
2017-12-15,0.06539889244444444,97,83,180,historic_data_news_sentiment
2017-12-16,0.17006505419402987,39,28,67,historic_data_news_sentiment
2017-12-17,0.1690187874318182,27,17,44,historic_data_news_sentiment
2017-12-18,0.1733816323846154,115,80,195,historic_data_news_sentiment
2017-12-19,-0.03833945323529411,81,89,170,historic_data_news_sentiment
2017-12-20,-0.023721988803191485,91,97,188,historic_data_news_sentiment
2017-12-21,-0.030281809880503142,77,82,159,historic_data_news_sentiment
2017-12-22,-0.09677842386227545,75,92,167,historic_data_news_sentiment
2017-12-23,-0.041756905822580646,30,32,62,historic_data_news_sentiment
2017-12-24,0.19017647745333333,45,30,75,historic_data_news_sentiment
2017-12-25,-0.049661648393617024,44,50,94,historic_data_news_sentiment
2017-12-26,0.018912599743169396,94,89,183,historic_data_news_sentiment
2017-12-27,-0.05738811032116789,66,71,137,historic_data_news_sentiment
2017-12-28,-0.0017668420217391272,91,93,184,historic_data_news_sentiment
2017-12-29,-0.03362098512352941,81,89,170,historic_data_news_sentiment
2017-12-30,0.04298682811666667,31,29,60,historic_data_news_sentiment
2017-12-31,-0.01303944353030303,32,34,66,historic_data_news_sentiment
2018-01-01,0.07840722161333333,40,35,75,historic_data_news_sentiment
2018-01-02,-0.0336862230397351,73,78,151,historic_data_news_sentiment
2018-01-03,-0.025330779077844312,82,85,167,historic_data_news_sentiment
2018-01-04,-0.058794672155,94,106,200,historic_data_news_sentiment
2018-01-05,0.03695126224175824,96,86,182,historic_data_news_sentiment
2018-01-06,0.031002519931506847,38,35,73,historic_data_news_sentiment
2018-01-07,-0.06317026939999999,26,29,55,historic_data_news_sentiment
2018-01-08,-0.004009722793103446,101,102,203,historic_data_news_sentiment
2018-01-09,0.06690227014606742,96,82,178,historic_data_news_sentiment
2018-01-10,-0.06176111706161138,98,113,211,historic_data_news_sentiment
