date,nifty_pe,nifty_pb,nifty_dividend_yield,nifty_close,nifty_eps,source,source_file
1999-07-16,20.02,3.47,1.13,1324.25,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-19,20.4,3.54,1.11,1349.6,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-20,19.87,3.45,1.14,1314.7,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-21,20.26,3.52,1.14,1340.15,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-22,20.39,3.54,1.13,1349.2,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-23,20.46,3.55,1.06,1342.95,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-26,20.18,3.5,1.07,1326.15,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-27,19.94,3.46,1.08,1309.85,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-28,20.09,3.49,1.07,1320.1,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-29,20.18,3.5,1.07,1325.7,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-30,19.94,3.46,1.08,1310.15,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-02,19.63,3.41,1.1,1289.6,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-03,19.53,3.39,1.1,1285.05,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-04,20.18,3.5,1.07,1326.4,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-05,20.13,3.49,1.07,1323.3,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-06,20.03,3.48,1.07,1316.8,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-09,20.2,3.51,1.06,1327.75,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-10,19.83,3.44,1.07,1309.75,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-11,19.92,3.45,1.1,1315.3,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-12,19.83,3.44,1.1,1309.5,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
