symbol,bse_symbol,company_name,source
MIDHANI,MIDHANI,Mishra Dhatu Nigam Limited,historic_data_archive7
RVHL,RVHL,Ravinder Heights Limited,historic_data_archive7
AARTISURF,AARTISURF,Aarti Surfactants Limited,historic_data_archive7
ATAM,ATAM,Atam Valves Limited,historic_data_archive7
FLUOROCHEM,FLUOROCHEM,Gujarat Fluorochemicals Limited,historic_data_archive7
INDIGOPNTS,INDIGOPNTS,Indigo Paints Limited,historic_data_archive7
AKUMS,AKUMS,Akums Drugs and Pharmaceuticals Limited,historic_data_archive7
SIGMA,SIGMA,Sigma Solve Limited,historic_data_archive7
DCI,DCI,Dc Infotech And Communication Limited,historic_data_archive7
VPRPL,VPRPL,Vishnu Prakash R Punglia Limited,historic_data_archive7
CEIGALL,CEIGALL,Ceigall India Limited,historic_data_archive7
HEMIPROP,HEMIPROP,Hemisphere Properties India Limited,historic_data_archive7
ADVAIT,ADVAIT,Advait Energy Transitions Limited,historic_data_archive7
ATALREAL,ATALREAL,Atal Realtech Limited,historic_data_archive7
MGEL,MGEL,Mangalam Global Enterprise Limited,historic_data_archive7
THELEELA,THELEELA,Leela Palaces Hotels & Resorts Limited,historic_data_archive7
KRONOX,KRONOX,Kronox Lab Sciences Limited,historic_data_archive7
DJML,DJML,DJ Mediaprint & Logistics Limited,historic_data_archive7
BONLON,BONLON,Bonlon Industries Limited,historic_data_archive7
BANSALWIRE,BANSALWIRE,Bansal Wire Industries Limited,historic_data_archive7
GOCOLORS,GOCOLORS,Go Fashion (India) Limited,historic_data_archive7
PREMIERENE,PREMIERENE,Premier Energies Limited,historic_data_archive7
KAMOPAINTS,KAMOPAINTS,Kamdhenu Ventures Limited,historic_data_archive7
SECMARK,SECMARK,SecMark Consultancy Limited,historic_data_archive7
MAPMYINDIA,MAPMYINDIA,C.E. Info Systems Limited,historic_data_archive7
AETHER,AETHER,Aether Industries Limited,historic_data_archive7
PROSTARM,PROSTARM,Prostarm Info Systems Limited,historic_data_archive7
JUBLINGREA,JUBLINGREA,Jubilant Ingrevia Limited,historic_data_archive7
