date,index_name,index_slug,source,source_file,open,high,low,close
2026-06-16,NIFTY PSU BANK,psu_bank,nse_sector_csv,NIFTY PSU BANK_Historical_PR_18072025to17072026.csv,8617.15,8635.15,8494.75,8563.2
2026-06-17,NIFTY METAL,metal,nse_sector_csv,NIFTY METAL_Historical_PR_18072025to17072026.csv,12848.95,13066.7,12757.7,13011.4
2026-06-17,NIFTY MIDSMALL FINANCIAL SERVICES,midsmall_fin,nse_sector_csv,NIFTY MIDSMALL FINANCIAL SERVICES_Historical_PR_18072025to17072026.csv,22380.95,22422.25,22244.55,22333.9
2026-06-17,NIFTY MIDSMALL HEALTHCARE,midsmall_health,nse_sector_csv,NIFTY MIDSMALL HEALTHCARE_Historical_PR_18072025to17072026.csv,47581.95,47785.45,47424.45,47568.1
2026-06-17,NIFTY MIDSMALL IT & TELECOM,midsmall_it,nse_sector_csv,NIFTY MIDSMALL IT & TELECOM_Historical_PR_18072025to17072026.csv,9502.5,9528.8,9458.25,9489.0
2026-06-17,NIFTY 50,nifty50,nse_sector_csv,NIFTY 50_Historical_PR_18072025to17072026.csv,24044.5,24108.2,23969.7,24085.7
2026-06-17,NIFTY OIL & GAS,oil_gas,nse_sector_csv,NIFTY OIL & GAS_Historical_PR_18072025to17072026.csv,11334.3,11358.3,11271.45,11303.95
2026-06-17,NIFTY PHARMA,pharma,nse_sector_csv,NIFTY PHARMA_Historical_PR_18072025to17072026.csv,24198.75,24238.65,24035.45,24146.55
2026-06-17,NIFTY POWER,power,nse_sector_csv,NIFTY POWER_Historical_PR_18072025to17072026.csv,,,,9171.68
2026-06-17,NIFTY PRIVATE BANK,private_bank,nse_sector_csv,NIFTY PRIVATE BANK_Historical_PR_18072025to17072026.csv,27964.35,28022.4,27846.75,27893.3
2026-06-17,NIFTY PSU BANK,psu_bank,nse_sector_csv,NIFTY PSU BANK_Historical_PR_18072025to17072026.csv,8590.6,8725.1,8534.65,8713.1
2026-06-18,NIFTY METAL,metal,nse_sector_csv,NIFTY METAL_Historical_PR_18072025to17072026.csv,13008.2,13100.95,12948.55,13010.4
2026-06-18,NIFTY MIDSMALL FINANCIAL SERVICES,midsmall_fin,nse_sector_csv,NIFTY MIDSMALL FINANCIAL SERVICES_Historical_PR_18072025to17072026.csv,22373.05,22516.5,22329.6,22426.95
2026-06-18,NIFTY MIDSMALL HEALTHCARE,midsmall_health,nse_sector_csv,NIFTY MIDSMALL HEALTHCARE_Historical_PR_18072025to17072026.csv,47680.25,48022.85,47522.6,47963.5
2026-06-18,NIFTY MIDSMALL IT & TELECOM,midsmall_it,nse_sector_csv,NIFTY MIDSMALL IT & TELECOM_Historical_PR_18072025to17072026.csv,9503.5,9528.95,9420.4,9497.45
2026-06-18,NIFTY 50,nifty50,nse_sector_csv,NIFTY 50_Historical_PR_18072025to17072026.csv,24073.8,24189.25,24036.95,24168.0
2026-06-18,NIFTY OIL & GAS,oil_gas,nse_sector_csv,NIFTY OIL & GAS_Historical_PR_18072025to17072026.csv,11319.25,11341.6,11240.05,11303.65
2026-06-18,NIFTY PHARMA,pharma,nse_sector_csv,NIFTY PHARMA_Historical_PR_18072025to17072026.csv,24173.0,24322.85,24135.2,24282.2
2026-06-18,NIFTY POWER,power,nse_sector_csv,NIFTY POWER_Historical_PR_18072025to17072026.csv,,,,9336.09
2026-06-18,NIFTY PRIVATE BANK,private_bank,nse_sector_csv,NIFTY PRIVATE BANK_Historical_PR_18072025to17072026.csv,27862.4,28055.2,27861.5,28031.35
2026-06-18,NIFTY PSU BANK,psu_bank,nse_sector_csv,NIFTY PSU BANK_Historical_PR_18072025to17072026.csv,8743.05,8800.15,8703.15,8770.7
2026-06-19,NIFTY METAL,metal,nse_sector_csv,NIFTY METAL_Historical_PR_18072025to17072026.csv,12928.5,13050.7,12846.25,13020.8
2026-06-19,NIFTY MIDSMALL FINANCIAL SERVICES,midsmall_fin,nse_sector_csv,NIFTY MIDSMALL FINANCIAL SERVICES_Historical_PR_18072025to17072026.csv,22369.7,22495.3,22322.55,22472.15
2026-06-19,NIFTY MIDSMALL HEALTHCARE,midsmall_health,nse_sector_csv,NIFTY MIDSMALL HEALTHCARE_Historical_PR_18072025to17072026.csv,47925.05,48571.95,47906.9,48505.0
2026-06-19,NIFTY MIDSMALL IT & TELECOM,midsmall_it,nse_sector_csv,NIFTY MIDSMALL IT & TELECOM_Historical_PR_18072025to17072026.csv,9285.8,9475.6,9230.7,9450.9
2026-06-19,NIFTY 50,nifty50,nse_sector_csv,NIFTY 50_Historical_PR_18072025to17072026.csv,23991.2,24047.2,23901.9,24013.1
2026-06-19,NIFTY OIL & GAS,oil_gas,nse_sector_csv,NIFTY OIL & GAS_Historical_PR_18072025to17072026.csv,11287.95,11295.8,11135.35,11169.75
2026-06-19,NIFTY PHARMA,pharma,nse_sector_csv,NIFTY PHARMA_Historical_PR_18072025to17072026.csv,24276.15,24493.85,24274.4,24460.3
2026-06-19,NIFTY POWER,power,nse_sector_csv,NIFTY POWER_Historical_PR_18072025to17072026.csv,,,,9356.15
2026-06-19,NIFTY PRIVATE BANK,private_bank,nse_sector_csv,NIFTY PRIVATE BANK_Historical_PR_18072025to17072026.csv,27927.2,27966.7,27805.8,27892.05
2026-06-19,NIFTY PSU BANK,psu_bank,nse_sector_csv,NIFTY PSU BANK_Historical_PR_18072025to17072026.csv,8757.15,8759.15,8665.9,8716.5
2026-06-22,NIFTY METAL,metal,nse_sector_csv,NIFTY METAL_Historical_PR_18072025to17072026.csv,13053.85,13106.4,12986.5,13091.2
2026-06-22,NIFTY MIDSMALL FINANCIAL SERVICES,midsmall_fin,nse_sector_csv,NIFTY MIDSMALL FINANCIAL SERVICES_Historical_PR_18072025to17072026.csv,22559.1,22632.0,22507.95,22578.9
